katz_centrality,vertex
0.0046220473,CP10-1192
0.004622053,CP14-2007
0.004622053,CP19-2129
0.004622053,Ho20-9048
0.0046220473,CP10-2336
0.00462205,CP13-2175
0.004622053,Ho15-9335
0.00462205,CP19-4200
0.004622053,CP07-1498
0.00462205,CP14-1226
0.004622053,Ho18-9205
0.004622053,CP15-2543
0.004622053,CP11-2067
0.00462205,CP11-1168
0.00462205,CP10-2317
0.004622053,CP10-2467
0.00462205,CPCL06-3370
0.00462205,CP17-2357
0.004622053,CP00-1549
0.00462205,H53-0263
0.00462205,CP94-1480
0.004622053,HoCP02-0614
0.0046220473,CP12-1234
0.00462205,CP18-1784
0.00462205,CP09-1941
0.00462205,CP96-1297
0.004622053,CP90-0925
0.00462205,CP96-1425
0.00462205,CP13-2413
0.00462205,CP97-1772
0.004622053,CP99-1050
0.00462205,CP14-2441
0.00462205,CP93-1706
0.004622053,CP04-1522
0.004622053,EPC54839
0.0046220473,CP90-1669
0.004622053,L05-0448
0.004622053,CP11-2124
0.004622053,CP13-1612
0.0046220515,AFRI15-0005
0.004622053,CP02-2147
0.0046220473,CP95-1835
0.00462205,CPCL01-6755
0.00462205,CP94-1887
0.00462205,CP19-1745
0.004622053,CP15-4719
0.004622053,HoL05-0952
0.0046220473,CP14-1065
0.00462205,CP09-2073
0.004622053,L64-0059
0.0046220473,CP97-1361
0.004622053,CP19-4603
0.004622053,CP01-2277
0.00462205,CP18-2265
0.0046220473,CP10-2255
0.004622053,CP07-2150
0.004622053,L18-0439
0.0046220473,CP10-1576
0.00462205,CP19-1488
0.004622053,L19-0491
0.00462205,CP17-1982
0.00462205,CP00-1936
0.00462205,CP16-2049
0.004622053,L96-0040
0.0046220473,CP95-1014
0.0046220473,CP97-1276
0.004622053,HoCP12-0648
0.00462205,CP69-0361
0.0046220473,CP95-1780
0.00462205,CP19-2340
0.00462205,CP06-2134
0.00462205,CP16-1079
0.00462205,CP17-4780
0.004622053,CP17-1910
0.004622053,CP83-0649
0.0046220487,L96-0091
0.00462205,L89-0128
0.004622053,CP16-1882
0.004622053,HoCP01-0541
0.00462205,CP01-1276
0.004622053,CP15-2239
0.00462205,CP02-1255
0.0046220473,CP15-4584
0.00462205,CP16-2477
0.0046220473,CP14-2176
0.00462205,Ho73-0043
0.004622053,CP15-4293
0.004622053,CP10-2151
0.00462205,CP16-4295
0.004622053,L91-0250
0.0046220473,CP11-1732
0.0046220473,Ho94-0112
0.004622053,CP96-1696
0.0046220473,CP13-1096
0.004622053,LCP83-0162
0.00462205,CP10-1992
0.00462205,CP16-2351
0.004622053,CP15-2402
0.00462205,CP97-1654
0.0046220515,CP06-2911
0.004622053,CP98-1851
0.004622053,US65-0064-0045
0.00462205,CP09-2014
0.00462205,CP04-1258
0.004622053,CP18-1509
0.004622053,CP17-1918
0.004622053,CP15-2001
0.004622053,HoCP98-0754
0.00462205,CP08-2211
0.004622053,CP00-1250
0.0046220473,CP11-2234
0.0046220473,CP99-1332
0.004622053,CP03-2355
0.0046220473,CP13-1912
0.00462205,CP09-1497
0.004622053,CP63-0304
0.00462205,CP11-2139
0.00462205,CP93-1638
0.00462205,CP96-1672
0.004622053,Ho13-9105
0.004622053,HoCP95-0933
0.00462205,CP06-3126
0.004622053,Ho98-0007
0.0046220473,CP98-1311
0.00462205,CP94-1472
0.004622053,CP04-1657
0.00462205,CP97-1717
0.004622053,CP00-2138
0.0046220473,CP19-1465
0.0046220473,CP10-1795
0.00462205,L07-0060
0.00462205,CP15-1314
0.004622053,CP03-1328
0.00462205,CP13-2163
0.00462205,CP02-1896
0.004622053,CP18-2405
0.004622053,CP03-2011
0.004622053,CP16-4429
0.00462205,CPCL02-0988
0.004622053,CP02-2405
0.00462205,CP17-2088
0.0046220473,CP14-2159
0.00462205,CP10-1496
0.004622053,CP97-2149
0.004622053,CP19-1533
0.004622053,CP03-2451
0.004622053,CP04-1242
0.0046220473,CPCL02-1864
0.004622053,CP04-1457
0.004622053,CP18-4449
0.00462205,CP13-2454
0.00462205,CP06-2425
0.00462205,CP19-2328
0.004622053,CP17-1722
0.0046220473,CP92-1739
0.004622053,LCP83-0133
0.0046220473,CP07-2646
0.004622053,CP10-2156
0.00462205,CP14-4601
0.00462205,CP02-2469
0.0046220473,CP98-1941
0.004622053,HoCP97-0621
0.0046220515,CP17-4512
0.004622053,CP15-2406
0.00462205,CP94-1945
0.004622053,HoCP95-0964
0.00462205,CP09-1494
0.004622053,CP69-0349
0.00462205,CP96-1289
0.004622053,CP07-1441
0.004622053,CP98-1540
0.004622053,CP16-1802
0.004622053,CP15-2077
0.004622053,Ho17-0719
0.00462205,CP18-2070
0.004622053,CP06-2108
0.004622053,CP18-1084
0.00462205,CP03-1396
0.004622053,CP91-1507
0.004622053,CP17-4053
0.0046220473,CP10-1076
0.004622053,CP19-1819
0.004622053,CP71-0400
0.00462205,CP98-1718
0.004622053,Ho16-0645
0.004622053,CP00-1245
0.004622053,L56-0037
0.004622053,CP19-1440
0.004622053,CP82-1592
0.004622053,L03-0378
0.0046220473,CP91-1320
0.004622053,CP17-1781
0.004622053,CP02-1824
0.004622053,CP01-2228
0.00462205,CP07-1103
0.0046220473,CP95-1910
0.004622053,CP15-1516
0.00462205,CP01-2539
0.00462205,CP10-1386
0.0046220473,CP16-1026
0.004622053,L13-0239
0.004622053,Ho18-9250
0.004622053,CP04-1739
0.0046220473,CPCL06-3167
0.004622053,CP16-1468
0.00462205,CP07-1950
0.004622053,CP13-4716
0.00462205,CP99-1906
0.00462205,CP16-4092
0.004622053,CP14-1452
0.0046220473,CP94-1926
0.004622053,CP09-1107
0.00462205,CP14-4434
0.004622053,CP95-1455
0.004622053,CP03-1826
0.004622053,CP00-1770
0.00462205,CP13-2429
0.0046220473,CP12-1191
0.004622053,CP15-2017
0.00462205,CP18-1041
0.004622053,CP19-1031
0.004622053,CP18-2308
0.004622053,HoCP20-0564
0.004622053,CP15-1405
0.00462205,CP94-1110
0.0046220487,CP09-1290
