labels,vertex
9369,CP02-1636
9370,CP13-1615
9371,CP09-2336
9372,CP10-2492
9373,CP15-2236
9374,CP96-1361
9375,CP00-1192
2176,CP93-1677
2177,Ho10-0920
2178,CP18-1214
2179,CP18-4872
2180,CP95-1834
2181,CP97-1923
2182,CP17-1411
2183,CP07-1600
2184,CP98-1877
2185,CP19-1322
2186,CP13-1874
2187,CP16-2233
2188,HoCP02-0629
2189,CP97-1109
2190,CP03-1393
2191,TCP83-3210
13264,CP00-2108
13265,CP16-4457
13266,CP13-4146
13267,CP07-1364
13268,CP14-1133
13269,CPCL06-3185
13270,CP03-1095
13271,CP17-2204
13272,CP97-1486
13273,LCP87-0012
13274,CP19-2298
13275,CP00-2020
13276,CP19-4594
13277,CP99-1887
13278,L98-0184
13279,CP19-1820
832,L96-0048
833,CP10-1797
834,CP97-1644
835,L01-0293
836,CP19-1237
837,CP94-1077
838,CP91-1458
839,CP14-2505
840,CP14-2095
841,CP99-1876
842,CP93-1106
843,CP13-1266
844,L84-0288
